Country Name,Country Code,Year,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Cereal production (metric tons),"Children out of school, primary","Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Exports of goods and services (% of GDP),GDP per capita (current US$),Gini index,"Inflation, consumer prices (annual %)","Population, total","School enrollment, secondary (% gross)","Service exports (BoP, current US$)","Service imports (BoP, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
"Bahamas, The",BHS,2005,100.0,100.0,-4.1596,360.0,6005.0,0.919356069275959,0.941082021319299,0.930931644546891,38.7598869482117,28602.4181869995,,1.59160618079802,343894.0,81.6555480957031,2510904015.259,1286409094.815,10.2
"Bahamas, The",BHS,2006,100.0,100.0,-4.1596,380.0,6802.0,0.911865058388197,0.923908961165778,0.918226802020099,38.3092773365463,29184.7865087908,,2.38982627439254,348375.0,82.0699996948242,2436080000.0,1610870000.0,7.54
"Bahamas, The",BHS,2007,100.0,100.0,-4.1596,400.0,6095.0,0.90860502405131,0.908947451475462,0.908786610878661,40.0919541095878,30051.8489587756,,2.49257794939396,353334.0,85.1444473266602,2599340000.0,1579589807.87322,7.88
"Bahamas, The",BHS,2015,100.0,100.0,-4.1596,597.18,,0.901824367796037,0.836194429961338,0.867316593830002,36.3376999460242,30289.4022514831,,1.86148302863371,385346.0,,2895504509.41,1277858820.2917,12.0
"Bahamas, The",BHS,2016,100.0,100.0,-4.1596,658.54,,0.899487730767965,0.828592268417214,0.86190898406087,33.217256558054,30266.5859220987,,-0.346376929989397,388055.0,,3399808723.37,1835538825.58462,12.7
"Bahamas, The",BHS,2017,100.0,100.0,-4.1596,647.78,,0.900703674745895,0.82151836032786,0.85895072983708,32.2815791839303,31337.1832464755,,1.51820700736147,390485.0,,3192086157.34,1812461442.28233,9.8
"Bahamas, The",BHS,2018,100.0,100.0,-4.1596,626.45,,0.899945457851039,0.812540107961194,0.854759233058496,35.8399784397343,32124.4051059669,,2.26586346678736,392717.0,,4110150472.74,1799488919.94849,10.0
"Bahamas, The",BHS,2019,100.0,100.0,-4.1596,614.65,,0.901430921872663,0.80554272517321,0.851655597381734,35.5641431446966,32979.5401279534,,2.49123527368046,394675.0,,4468513518.25,1830415286.61384,9.336
"Bahamas, The",BHS,2020,100.0,100.0,-4.1596,608.4,,0.870652127063489,0.817262524118842,0.843096463374576,24.2403245566468,25155.6725432789,,0.0385210980054558,395863.0,,1257053699.25,1386810936.55052,12.027
"Bahamas, The",BHS,2021,100.0,100.0,,608.22,,0.882098943126208,0.814656012473202,0.846974305611142,29.4971369261758,28682.3270000732,,2.90491262928478,396373.0,62.6166610717773,2691240180.757,1682931369.92901,11.032
